lat,lon,ssh_m,sla_m,adt_m,source,date
26.0625,-81.9375,0.3522,0.1503,0.3522,CMEMS_ALT,2026-08-09
26.0625,-81.8125,0.3675,0.1649,0.3675,CMEMS_ALT,2026-08-09
26.0625,-81.6875,0.3622,0.1785,0.3622,CMEMS_ALT,2026-08-09
26.0625,-80.0625,0.1581,0.0793,0.1581,CMEMS_ALT,2026-08-09
26.0625,-79.9375,0.2733,0.0945,0.2733,CMEMS_ALT,2026-08-09
26.0625,-79.8125,0.3982,0.1126,0.3982,CMEMS_ALT,2026-08-09
26.0625,-79.6875,0.5346,0.1286,0.5346,CMEMS_ALT,2026-08-09
26.0625,-79.5625,0.6487,0.1374,0.6487,CMEMS_ALT,2026-08-09
26.0625,-79.4375,0.7307,0.1375,0.7307,CMEMS_ALT,2026-08-09
26.0625,-79.3125,0.7725,0.1326,0.7725,CMEMS_ALT,2026-08-09
26.0625,-79.1875,0.7948,0.1287,0.7948,CMEMS_ALT,2026-08-09
26.0625,-79.0625,0.7992,0.1294,0.7992,CMEMS_ALT,2026-08-09
26.0625,-78.9375,0.7919,0.1327,0.7919,CMEMS_ALT,2026-08-09
26.0625,-78.8125,0.7765,0.1333,0.7765,CMEMS_ALT,2026-08-09
26.0625,-78.6875,0.7637,0.1271,0.7637,CMEMS_ALT,2026-08-09
26.0625,-78.5625,0.7395,0.1145,0.7395,CMEMS_ALT,2026-08-09
26.0625,-78.4375,0.7037,0.0993,0.7037,CMEMS_ALT,2026-08-09
26.0625,-78.3125,0.6796,0.086,0.6796,CMEMS_ALT,2026-08-09
26.0625,-78.1875,0.6785,0.0772,0.6785,CMEMS_ALT,2026-08-09
26.0625,-78.0625,0.6883,0.0728,0.6883,CMEMS_ALT,2026-08-09
26.0625,-77.9375,0.7005,0.0719,0.7005,CMEMS_ALT,2026-08-09
26.0625,-77.8125,0.7174,0.0745,0.7174,CMEMS_ALT,2026-08-09
26.0625,-77.6875,0.7281,0.082,0.7281,CMEMS_ALT,2026-08-09
26.0625,-77.5625,0.7591,0.0953,0.7591,CMEMS_ALT,2026-08-09
26.0625,-77.4375,0.7737,0.1135,0.7737,CMEMS_ALT,2026-08-09
26.0625,-77.3125,0.7936,0.1336,0.7936,CMEMS_ALT,2026-08-09
26.0625,-77.1875,0.8075,0.151,0.8075,CMEMS_ALT,2026-08-09
26.0625,-77.0625,0.8125,0.1609,0.8125,CMEMS_ALT,2026-08-09
26.0625,-76.9375,0.8052,0.1601,0.8052,CMEMS_ALT,2026-08-09
26.0625,-76.8125,0.7915,0.1477,0.7915,CMEMS_ALT,2026-08-09
26.0625,-76.6875,0.769,0.1263,0.769,CMEMS_ALT,2026-08-09
26.0625,-76.5625,0.7434,0.1014,0.7434,CMEMS_ALT,2026-08-09
26.0625,-76.4375,0.7237,0.0793,0.7237,CMEMS_ALT,2026-08-09
26.0625,-76.3125,0.709,0.064,0.709,CMEMS_ALT,2026-08-09
26.0625,-76.1875,0.7057,0.0564,0.7057,CMEMS_ALT,2026-08-09
26.1875,-81.9375,0.3259,0.1473,0.3259,CMEMS_ALT,2026-08-09
